Nome,Country,Lon,Lat,Categories
Câmara Municipal de Oliveira do Bairro,Portugal,-8.496321443638518,40.512917200000004,"building,building.public_and_civil,tourism.sights.city_hall"
Carta de Foral de Oliveira do Bairro,Portugal,-8.4956724,40.5128114,"tourism,tourism.attraction,tourism.attraction.artwork,tourism.sights,tourism.sights.memorial"
Bordalo II - Cegonha,Portugal,-8.4914453,40.5130882,"tourism,tourism.attraction,tourism.attraction.artwork"
Hotel Paraíso,Portugal,-8.4926455,40.5149663,"accommodation,accommodation.hotel"
Baloiço dos Pinheiros Mansos,Portugal,-8.482139,40.509,"tourism,tourism.attraction"
Cruzeiro,Portugal,-8.4732614,40.4918509,"tourism,tourism.sights,tourism.sights.memorial,tourism.sights.memorial.wayside_cross"
Junta de Freguesia de Sangalhos,Portugal,-8.47511224591987,40.486310700000004,"building,building.public_and_civil,tourism.sights.city_hall"
Lagoa do Paúl,Portugal,-8.5019442,40.4753208,"tourism,tourism.attraction"
Fonte do Mouchão,Portugal,-8.5065659,40.4724835,tourism.attraction.fountain
Fonte Zé Cardoso,Portugal,-8.5325592,40.4780199,tourism.attraction.fountain
Fonte da Seara,Portugal,-8.5357961,40.5242046,tourism.attraction.fountain
Fonte da Pinguela,Portugal,-8.5404326,40.4799591,tourism.attraction.fountain
Junta de Freguesia de Amoreira da Gândara,Portugal,-8.539456427220827,40.476901749999996,"building,building.public_and_civil,tourism.sights.city_hall"
Estalagem de Sangalhos,Portugal,-8.459724038701431,40.4774771,"accommodation,accommodation.hotel,building,building.accommodation,wheelchair,wheelchair.limited"
Lavadouro Fonte Natural Do Coito,Portugal,-8.4538923,40.4839686,tourism.attraction.fountain
Junta de Freguesia de Aguada de Baixo,Portugal,-8.450023769060614,40.51026295,"building,building.public_and_civil,tourism.sights.city_hall"
Pensão Parreira,Portugal,-8.4474195,40.5086941,"accommodation,accommodation.guest_house"
